Auteur,Date,Commentaire,Note
JULIE | France | 11/12/2024,2024-12-11T08:23:15+0100,agréables à porter et bon amorti,5/5
PIERRETTE | France | 11/12/2024,2024-12-11T08:19:43+0100,Bon produit,5/5
VANESSA | France | 10/12/2024,2024-12-10T20:34:23+0100,Bon rapport qualité prix,5/5
JEAN CHARLES | France | 10/12/2024,2024-12-10T19:03:24+0100,tiens bien au pied,5/5
BARBARA | Femme | France | 10/12/2024,2024-12-10T09:11:33+0100,"Utilisée pour la salle de sport et sur tapis de course, ces chaussures assurent un bon maintien",5/5
VIRGINIE | France | 09/12/2024,2024-12-09T21:17:39+0100,Semelle dure Matériaux passables pour la transpiration,3/5
NADINE | France | 10/12/2024,2024-12-10T08:39:32+0100,"achetées pour le travail, debout 10 h par jour. parfait",5/5
Florence | France | 09/12/2024,2024-12-09T18:04:36+0100,Sa fait longtemps que je prend ce modèle et j en suis très contente,5/5
Margaux | Femme | France | 09/12/2024,2024-12-09T17:16:34+0100,Chaussures pas cher et qui fait le taf pour commencer la course à pied !,5/5
Pascale | France | 08/12/2024,2024-12-08T18:41:01+0100,"Non seulement de glisser sur sol mouillé, la semelle n'adhère pas sur beaucoup de surfaces parisiennes.",3/5
Odette | France | 08/12/2024,2024-12-08T14:44:40+0100,"Tres beau design, sa agripe bien sur les montées même sur l'herbe! Je recommande vivement.",5/5
Ilef | France | 07/12/2024,2024-12-07T20:15:51+0100,Très satisfaite,5/5
Emmanuelle | France | 07/12/2024,2024-12-07T19:28:01+0100,"Semelle très glissante sur sol humide, type macadam, bord trottoir...",1/5
Sandrine | Femme | France | 07/12/2024,2024-12-07T13:13:19+0100,Super produit,5/5
Carine | Femme | France | 07/12/2024,2024-12-07T11:46:35+0100,"Chaussures parfaites pour moi qui suis débutante, rapport qualité/prix, très bien, je recommande",5/5
Karine | Femme | France | 06/12/2024,2024-12-06T22:34:09+0100,Article très confortable,5/5
Nathalie | France | 06/12/2024,2024-12-06T18:12:48+0100,Chaussures très confortable.,5/5
BORIS | Femme | France | 06/12/2024,2024-12-06T08:50:56+0100,"Après plusieurs minutes d’utilisation, une gêne importante est apparue au niveau de l’ouverture d’une des baskets. Pourtant je n’avais rien ressenti au moment de l’essayage avant achat.  Je recommande le produit mais avec réserve.",3/5
Corinne | France | 06/12/2024,2024-12-06T10:22:50+0100,Je ne les utilise pas pour le sport.,5/5
maite | France | 06/12/2024,2024-12-06T09:46:08+0100,Le vendeur m as très mal renseigné  Je voulais des chaussures pour une marche rapide qui ne glissent pas  Il m.as conseille celle ci qui glissent énormément,1/5
oliver | Homme | France | 05/12/2024,2024-12-05T18:46:46+0100,Ras.,5/5
Joëlle | France | 05/12/2024,2024-12-05T17:34:28+0100,"Très bon rapport qualité, prix. Chaussure confortable et look sympa. Je conseille.",5/5
Eric | France | 05/12/2024,2024-12-05T08:50:22+0100,Utilisées par ma fille. Celle-ci a souhaité racheter les mêmes lorsque la première paire a été trop petite.,5/5
Evelyne | France | 05/12/2024,2024-12-05T05:47:16+0100,"Très bon. Je suis satisfaite. Petit bémol, les semelles glissent en temps de pluie. A ne pas utiliser pour la course sous la pluie.",5/5
Patricia | France | 05/12/2024,2024-12-05T09:19:46+0100,J'aimerais d'autres couleurs,5/5
Florine | France | 04/12/2024,2024-12-04T18:48:04+0100,Top pour la marche,5/5
Monique | France | 04/12/2024,2024-12-04T18:31:38+0100,Très bon produit bon rapport qualité prix,5/5
Aurélie | France | 03/12/2024,2024-12-03T22:25:13+0100,"Non rapport qualité prix, je les utilise pour des footing de 5km et assez respirantes",5/5
annick | France | 03/12/2024,2024-12-03T20:21:04+0100,bravo super vendeuse,5/5
JOCELYNE | France | 03/12/2024,2024-12-03T18:05:05+0100,Confortable.,4/5
