Auteur,Date,Commentaire,Note
JULIE | France | 11/12/2024,2024-12-11T08:23:15+0100,agréables à porter et bon amorti,5/5
PIERRETTE | France | 11/12/2024,2024-12-11T08:19:43+0100,Bon produit,5/5
VANESSA | France | 10/12/2024,2024-12-10T20:34:23+0100,Bon rapport qualité prix,5/5
JEAN CHARLES | France | 10/12/2024,2024-12-10T19:03:24+0100,tiens bien au pied,5/5
BARBARA | Femme | France | 10/12/2024,2024-12-10T09:11:33+0100,"Utilisée pour la salle de sport et sur tapis de course, ces chaussures assurent un bon maintien",5/5
VIRGINIE | France | 09/12/2024,2024-12-09T21:17:39+0100,Semelle dure Matériaux passables pour la transpiration,3/5
NADINE | France | 10/12/2024,2024-12-10T08:39:32+0100,"achetées pour le travail, debout 10 h par jour. parfait",5/5
Florence | France | 09/12/2024,2024-12-09T18:04:36+0100,Sa fait longtemps que je prend ce modèle et j en suis très contente,5/5
Margaux | Femme | France | 09/12/2024,2024-12-09T17:16:34+0100,Chaussures pas cher et qui fait le taf pour commencer la course à pied !,5/5
Pascale | France | 08/12/2024,2024-12-08T18:41:01+0100,"Non seulement de glisser sur sol mouillé, la semelle n'adhère pas sur beaucoup de surfaces parisiennes.",3/5
Odette | France | 08/12/2024,2024-12-08T14:44:40+0100,"Tres beau design, sa agripe bien sur les montées même sur l'herbe! Je recommande vivement.",5/5
Ilef | France | 07/12/2024,2024-12-07T20:15:51+0100,Très satisfaite,5/5
Emmanuelle | France | 07/12/2024,2024-12-07T19:28:01+0100,"Semelle très glissante sur sol humide, type macadam, bord trottoir...",1/5
Sandrine | Femme | France | 07/12/2024,2024-12-07T13:13:19+0100,Super produit,5/5
Carine | Femme | France | 07/12/2024,2024-12-07T11:46:35+0100,"Chaussures parfaites pour moi qui suis débutante, rapport qualité/prix, très bien, je recommande",5/5
Karine | Femme | France | 06/12/2024,2024-12-06T22:34:09+0100,Article très confortable,5/5
Nathalie | France | 06/12/2024,2024-12-06T18:12:48+0100,Chaussures très confortable.,5/5
BORIS | Femme | France | 06/12/2024,2024-12-06T08:50:56+0100,"Après plusieurs minutes d’utilisation, une gêne importante est apparue au niveau de l’ouverture d’une des baskets. Pourtant je n’avais rien ressenti au moment de l’essayage avant achat.  Je recommande le produit mais avec réserve.",3/5
Corinne | France | 06/12/2024,2024-12-06T10:22:50+0100,Je ne les utilise pas pour le sport.,5/5
maite | France | 06/12/2024,2024-12-06T09:46:08+0100,Le vendeur m as très mal renseigné  Je voulais des chaussures pour une marche rapide qui ne glissent pas  Il m.as conseille celle ci qui glissent énormément,1/5
oliver | Homme | France | 05/12/2024,2024-12-05T18:46:46+0100,Ras.,5/5
Joëlle | France | 05/12/2024,2024-12-05T17:34:28+0100,"Très bon rapport qualité, prix. Chaussure confortable et look sympa. Je conseille.",5/5
Eric | France | 05/12/2024,2024-12-05T08:50:22+0100,Utilisées par ma fille. Celle-ci a souhaité racheter les mêmes lorsque la première paire a été trop petite.,5/5
Evelyne | France | 05/12/2024,2024-12-05T05:47:16+0100,"Très bon. Je suis satisfaite. Petit bémol, les semelles glissent en temps de pluie. A ne pas utiliser pour la course sous la pluie.",5/5
Patricia | France | 05/12/2024,2024-12-05T09:19:46+0100,J'aimerais d'autres couleurs,5/5
Florine | France | 04/12/2024,2024-12-04T18:48:04+0100,Top pour la marche,5/5
Monique | France | 04/12/2024,2024-12-04T18:31:38+0100,Très bon produit bon rapport qualité prix,5/5
Aurélie | France | 03/12/2024,2024-12-03T22:25:13+0100,"Non rapport qualité prix, je les utilise pour des footing de 5km et assez respirantes",5/5
annick | France | 03/12/2024,2024-12-03T20:21:04+0100,bravo super vendeuse,5/5
JOCELYNE | France | 03/12/2024,2024-12-03T18:05:05+0100,Confortable.,4/5
JOCELYNE | France | 03/12/2024,2024-12-03T18:05:05+0100,Confortable.,4/5
Myriam | France | 02/12/2024,2024-12-02T13:07:00+0100,je pensais avoir plus d'accroche au sol,5/5
Isabelle | Femme | France | 02/12/2024,2024-12-02T11:27:22+0100,Parfaites,5/5
BEATRICE | Femme | France | 01/12/2024,2024-12-01T21:07:58+0100,Bon produit,4/5
Karine | France | 01/12/2024,2024-12-01T20:34:30+0100,bon rapport qualité prix,5/5
severine | France | 02/12/2024,2024-12-02T11:24:52+0100,J acheté toujours cette paire pour le travail ou je piétine beaucoup. Par contre elles ont beaucoup augmenté par rapport à mon précédent achat.,4/5
Ed | Femme | France | 30/11/2024,2024-11-30T22:39:33+0100,"Cela fait plusieurs fois que je les achète car pas trop cher ,mais a chaque fois elles se trouent sur le dessus!! C est dommage!!",3/5
fabien | France | 30/11/2024,2024-11-30T20:42:16+0100,J'ai repris exactement les mêmes chaussures que j'ai depuis plusieurs années. Mais les lacets deviennent de plus en plus petit à chaque fois que j'en achète des nouvelles. On peut à peine les faire. Sinon très confortable,3/5
CHRISTINE | France | 30/11/2024,2024-11-30T20:00:00+0100,Bon produit,5/5
Alain | France | 30/11/2024,2024-11-30T10:04:25+0100,Très bon rapport qualité prix,5/5
georges | Homme | France | 30/11/2024,2024-11-30T09:13:09+0100,entiere satisfaction,5/5
Johnny | France | 29/11/2024,2024-11-29T22:44:48+0100,achat pour marche,5/5
Magali | France | 28/11/2024,2024-11-28T09:43:37+0100,bonne tenue souple légère,5/5
Virginie | France | 26/11/2024,2024-11-26T10:07:32+0100,bien,5/5
Roselyne | France | 26/11/2024,2024-11-26T10:57:35+0100,Très joli mais j'ai eu les dessous de pieds brûlés et des ampoules en faisant mon sport. Mise une seule dommage un achat qui ne me sers à rien,2/5
COLETTE | France | 26/11/2024,2024-11-26T09:51:39+0100,article correspondant à mes attentes.,5/5
CHRISTIANE | Femme | France | 25/11/2024,2024-11-25T20:40:36+0100,je les adore elles sont jolies et tres confortable,5/5
VERONIQUE | Femme | France | 23/11/2024,2024-11-23T22:01:24+0100,Acheter pour rééducation après fracture genou / cheville,5/5
CLAUDE | France | 23/11/2024,2024-11-23T21:49:24+0100,Correspond à mes attentes,5/5
NICOLE | Femme | France | 22/11/2024,2024-11-22T20:11:26+0100,Baskets souples et confortables,5/5
FABIENNE | Femme | France | 22/11/2024,2024-11-22T18:54:40+0100,Très satisfaite pour le quotidien,4/5
GAEL | France | 22/11/2024,2024-11-22T15:58:17+0100,Répond au besoin.,4/5
Véronique | France | 22/11/2024,2024-11-22T09:18:33+0100,"utilisation pour mon job, les chaussures sont légères et très confortables, pieds préservés ;)",5/5
Astrid | France | 22/11/2024,2024-11-22T10:06:21+0100,Un peu trop raide,5/5
Audrey | France | 21/11/2024,2024-11-21T22:06:46+0100,trés jolies et bon grip,4/5
FLORENCE | Femme | France | 21/11/2024,2024-11-21T18:57:20+0100,Très satisfaite de ces baskets,5/5
Stéphane | France | 20/11/2024,2024-11-20T08:55:08+0100,Bon produit,5/5
Sylvie | France | 19/11/2024,2024-11-19T19:48:21+0100,Super confortable,5/5
MAGALIE | France | 19/11/2024,2024-11-19T19:39:20+0100,Super léger et agréable pour toutes occasions,5/5
ELIANE | France | 19/11/2024,2024-11-19T17:08:25+0100,Confortable et bon maintient.,5/5
NATHALIE | France | 18/11/2024,2024-11-18T15:42:37+0100,Très bon produit et jolie design. Je recommande,5/5
ARNAUD | Femme | France | 18/11/2024,2024-11-18T10:56:27+0100,"Bon rapport qualité/prix, bonne stabilité et bon maintien.",4/5
CELINE | France | 18/11/2024,2024-11-18T06:44:20+0100,"Je m'en sert pour faire les cours collectifs et les randonnées extérieures, j'en suis très contente",4/5
emmylou | France | 16/11/2024,2024-11-16T18:57:11+0100,Bon produit. L'accroche et le confort sont là. Les couleurs ne sont pas trop à notre goût mais c'était la seule paire qui correspondait à nos critères et à notre budget.,4/5
Beatrice | France | 16/11/2024,2024-11-16T12:03:41+0100,Bon rapport qualité prix,4/5
JEAN CLAUDE | France | 15/11/2024,2024-11-15T10:26:45+0100,qualite prix correct,5/5
STEVE | France | 14/11/2024,2024-11-14T17:22:51+0100,"idéales pour marche quotidienne, même pour les randonnées jusquà 12 kms",5/5
Catherine | France | 14/11/2024,2024-11-14T15:49:18+0100,Bonne chaussure pour terrain plat. Je n’ai pas testé sur longue distance,5/5
Nicolas | Homme | France | 13/11/2024,2024-11-13T10:44:34+0100,Bonnes chaussures pour commencer le running,5/5
PIERRE | Homme | France | 12/11/2024,2024-11-12T18:40:24+0100,correspond à mon besoin personnelle,5/5
Wahiba | France | 12/11/2024,2024-11-12T12:03:23+0100,Je les utilise 2 fois par semaine pour du step. Et parfaite. Bon maintien et bon amorti.,5/5
ANNICK | France | 12/11/2024,2024-11-12T09:06:32+0100,elles me servent tous les jours ....super produit,5/5
Nicolas | France | 11/11/2024,2024-11-11T21:09:42+0100,La semelle manque un peu d'accroche sur certains sols lisses quand ils sont mouillés. Le maintien est satisfaisant et le confort correct.,5/5
