Auteur,Date,Commentaire,Note
JULIE,2024-12-11,agreables a porter et bon amorti,5
PIERRETTE,2024-12-11,bon produit,5
VANESSA,2024-12-10,bon rapport qualite prix,5
JEAN CHARLES,2024-12-10,tiens bien au pied,5
BARBARA,2024-12-10,utilisee pour la salle de sport et sur tapis de course ces chaussures assurent un bon maintien,5
VIRGINIE,2024-12-09,semelle dure materiaux passables pour la transpiration,3
NADINE,2024-12-10,achetees pour le travail debout h par jour parfait,5
Florence,2024-12-09,sa fait longtemps que je prend ce modele et j en suis tres contente,5
Margaux,2024-12-09,chaussures pas cher et qui fait le taf pour commencer la course a pied,5
Pascale,2024-12-08,non seulement de glisser sur sol mouille la semelle nadhere pas sur beaucoup de surfaces parisiennes,3
Odette,2024-12-08,tres beau design sa agripe bien sur les montees meme sur lherbe je recommande vivement,5
Ilef,2024-12-07,tres satisfaite,5
Emmanuelle,2024-12-07,semelle tres glissante sur sol humide type macadam bord trottoir,1
Sandrine,2024-12-07,super produit,5
Carine,2024-12-07,chaussures parfaites pour moi qui suis debutante rapport qualiteprix tres bien je recommande,5
Karine,2024-12-06,article tres confortable,5
Nathalie,2024-12-06,chaussures tres confortable,5
BORIS,2024-12-06,apres plusieurs minutes dutilisation une gene importante est apparue au niveau de louverture dune des baskets pourtant je navais rien ressenti au moment de lessayage avant achat je recommande le produit mais avec reserve,3
Corinne,2024-12-06,je ne les utilise pas pour le sport,5
maite,2024-12-06,le vendeur m as tres mal renseigne je voulais des chaussures pour une marche rapide qui ne glissent pas il mas conseille celle ci qui glissent enormement,1
oliver,2024-12-05,ras,5
Joëlle,2024-12-05,tres bon rapport qualite prix chaussure confortable et look sympa je conseille,5
Eric,2024-12-05,utilisees par ma fille celleci a souhaite racheter les memes lorsque la premiere paire a ete trop petite,5
Evelyne,2024-12-05,tres bon je suis satisfaite petit bemol les semelles glissent en temps de pluie a ne pas utiliser pour la course sous la pluie,5
Patricia,2024-12-05,jaimerais dautres couleurs,5
Florine,2024-12-04,top pour la marche,5
Monique,2024-12-04,tres bon produit bon rapport qualite prix,5
Aurélie,2024-12-03,non rapport qualite prix je les utilise pour des footing de km et assez respirantes,5
annick,2024-12-03,bravo super vendeuse,5
JOCELYNE,2024-12-03,confortable,4
Myriam,2024-12-02,je pensais avoir plus daccroche au sol,5
Isabelle,2024-12-02,parfaites,5
BEATRICE,2024-12-01,bon produit,4
Karine,2024-12-01,bon rapport qualite prix,5
severine,2024-12-02,j achete toujours cette paire pour le travail ou je pietine beaucoup par contre elles ont beaucoup augmente par rapport a mon precedent achat,4
Ed,2024-11-30,cela fait plusieurs fois que je les achete car pas trop cher mais a chaque fois elles se trouent sur le dessus c est dommage,3
fabien,2024-11-30,jai repris exactement les memes chaussures que jai depuis plusieurs annees mais les lacets deviennent de plus en plus petit a chaque fois que jen achete des nouvelles on peut a peine les faire sinon tres confortable,3
CHRISTINE,2024-11-30,bon produit,5
Alain,2024-11-30,tres bon rapport qualite prix,5
georges,2024-11-30,entiere satisfaction,5
Johnny,2024-11-29,achat pour marche,5
Magali,2024-11-28,bonne tenue souple legere,5
Virginie,2024-11-26,bien,5
Roselyne,2024-11-26,tres joli mais jai eu les dessous de pieds brules et des ampoules en faisant mon sport mise une seule dommage un achat qui ne me sers a rien,2
COLETTE,2024-11-26,article correspondant a mes attentes,5
CHRISTIANE,2024-11-25,je les adore elles sont jolies et tres confortable,5
VERONIQUE,2024-11-23,acheter pour reeducation apres fracture genou cheville,5
CLAUDE,2024-11-23,correspond a mes attentes,5
NICOLE,2024-11-22,baskets souples et confortables,5
FABIENNE,2024-11-22,tres satisfaite pour le quotidien,4
GAEL,2024-11-22,repond au besoin,4
Véronique,2024-11-22,utilisation pour mon job les chaussures sont legeres et tres confortables pieds preserves,5
Astrid,2024-11-22,un peu trop raide,5
Audrey,2024-11-21,tres jolies et bon grip,4
FLORENCE,2024-11-21,tres satisfaite de ces baskets,5
Stéphane,2024-11-20,bon produit,5
Sylvie,2024-11-19,super confortable,5
MAGALIE,2024-11-19,super leger et agreable pour toutes occasions,5
ELIANE,2024-11-19,confortable et bon maintient,5
NATHALIE,2024-11-18,tres bon produit et jolie design je recommande,5
ARNAUD,2024-11-18,bon rapport qualiteprix bonne stabilite et bon maintien,4
CELINE,2024-11-18,je men sert pour faire les cours collectifs et les randonnees exterieures jen suis tres contente,4
emmylou,2024-11-16,bon produit laccroche et le confort sont la les couleurs ne sont pas trop a notre gout mais cetait la seule paire qui correspondait a nos criteres et a notre budget,4
Beatrice,2024-11-16,bon rapport qualite prix,4
JEAN CLAUDE,2024-11-15,qualite prix correct,5
STEVE,2024-11-14,ideales pour marche quotidienne meme pour les randonnees jusqua kms,5
Catherine,2024-11-14,bonne chaussure pour terrain plat je nai pas teste sur longue distance,5
Nicolas,2024-11-13,bonnes chaussures pour commencer le running,5
PIERRE,2024-11-12,correspond a mon besoin personnelle,5
Wahiba,2024-11-12,je les utilise fois par semaine pour du step et parfaite bon maintien et bon amorti,5
ANNICK,2024-11-12,elles me servent tous les jours super produit,5
Nicolas,2024-11-11,la semelle manque un peu daccroche sur certains sols lisses quand ils sont mouilles le maintien est satisfaisant et le confort correct,5
Martine,2024-11-11,javais les mm il y a ans que jai use ou presque je narrive pas a les jeter jai repris le mm modele xt pour le maintien les semelles interieur la legerete laccroche marche nature terre etc tres tres bon produit et jai fait enormement de sport dont des exped au loin,5
samia,2024-11-10,je rachete chaque fois la meme marque je recommande,4
Corinne,2024-11-10,jutilise ces chaussures pour la vie de tous les jours et jen suis tout a fait satisfaite je les ai depuis mois et elles sont toujours en parfait etat je les utilise aussi ponctuellement pour des balades aucun probleme,5
Catherine,2024-11-09,tres bonne chaussures,5
Sylvie,2024-11-09,chaussures tres confortables qui passent partout,5
Stephanie,2024-11-08,parfait pour la course a pied fois par semaine,5
marion,2024-11-08,respirabilite et confort,5
JOLANTA,2024-11-07,produits teste sur une course a pied de km tres confortable aucun souci apres cette distance,5
Martial,2024-11-07,chaussures agreables a porter mais je trouve quelles ont tendance a suser un peu vite peutetre que je fais trop de kilometres avec,5
Marlene,2024-11-07,ras,4
Isabelle,2024-11-07,glissant sur sol mouille,4
Apolline,2024-11-07,je les porte plusieurs fois par semaine pour de la marche depuis plus dun an et franchement elles sont super confortable bon amorti super rapport qualiteprix en revanche elles ne sont pas impermeable mais pour le prix cest parfait,5
Philippe,2024-11-06,utilise pour de la marche rapide et footing light bon confort bon maintien,5
Isabelle,2024-11-06,bon rapport qualite prix conseil avec le sourire de la vendeuse,4
PATRICIA,2024-11-06,decu du produit achete en juin et l arriere de la chaussure interieur ce dechire deja,2
Yohan,2024-11-05,look et tres souple,5
JEAN LOUIS,2024-11-05,article conforme a mon attente,5
